tip_diameter_mm,hub_ratio,blade_angle_deg,blade_count,speed_rpm,blade_profile,flow_rate_m3s,total_pressure_pa,temperature_celsius,efficiency_pct,shaft_power_kw,noise_dba,safety_factor,cost_total,is_feasible,status
2327.38,0.3955,26.89,8,1681,NACA 4412,7.5150,999.41,45.95,14.640,315.819,126.55,5.510,1743199.87,1,warning
2378.19,0.4922,26.61,10,2518,NACA 2412,5.1630,1059.88,-3.47,7.150,1304.067,161.54,2.650,6957985.81,1,warning
2770.03,0.3438,26.14,10,799,Flat Plate,13.2503,624.60,37.83,25.430,86.929,101.33,15.390,558328.37,1,warning
1474.13,0.3455,11.33,10,1653,NACA 0012,10.5477,1307.72,3.84,73.030,25.274,107.93,11.960,148561.18,1,warning
2769.48,0.3602,34.94,12,2503,NACA 0012,11.4664,1153.26,0.55,8.630,2570.037,173.75,1.700,13677404.26,1,warning
919.17,0.5173,23.17,12,2957,Flat Plate,8.1086,1102.89,12.29,64.770,43.019,113.95,12.440,230373.57,1,warning
1213.29,0.3067,24.87,8,2200,Flat Plate,7.5408,766.83,44.31,44.940,38.166,104.15,10.660,212226.38,1,warning
529.91,0.5684,26.38,4,2090,NACA 4412,10.9213,1454.46,-8.76,0.000,0.000,106.15,82.900,1544.13,0,warning
2973.76,0.4306,11.60,10,1374,NACA 0012,6.0375,729.46,49.96,17.180,262.000,125.66,5.240,1505790.18,1,warning
1693.26,0.5496,14.84,10,2317,Flat Plate,18.6822,1376.44,-0.43,71.800,231.342,137.17,6.590,1244310.64,1,warning
628.60,0.5481,33.27,12,855,Flat Plate,7.6511,655.98,12.81,0.000,0.000,82.42,170.150,876.40,0,warning
1610.26,0.4395,29.74,4,1646,NACA 4412,17.1291,341.60,13.20,55.100,102.773,99.77,12.820,591072.51,1,warning
2250.66,0.5280,24.68,12,857,NACA 4412,8.3466,1615.44,-6.17,31.670,54.786,105.05,22.050,330732.64,1,warning
441.78,0.4264,25.87,8,2566,NACA 2412,5.0646,1020.55,-3.27,0.000,0.000,100.14,54.080,491.76,0,warning
1889.61,0.5857,21.79,10,720,Flat Plate,15.8974,418.15,40.71,66.430,20.598,81.56,56.270,136453.35,1,warning
2336.19,0.5003,29.70,6,800,NACA 2412,14.6326,1879.47,-6.89,42.040,62.469,106.68,25.780,423913.46,1,warning
1858.65,0.5404,31.21,12,2314,NACA 0012,5.9367,1673.13,43.02,16.960,277.540,142.63,5.330,1490994.55,1,warning
637.18,0.5933,24.21,10,1728,Flat Plate,19.9314,1925.38,42.30,0.000,0.000,108.69,64.050,1044.25,0,warning
2927.95,0.4926,14.21,4,2451,NACA 4412,9.2862,1601.32,-0.47,13.290,3279.061,151.39,1.870,17623555.36,1,warning
472.69,0.3048,17.09,12,703,Flat Plate,9.3268,1185.45,37.29,0.000,0.000,88.37,49.790,407.27,0,warning
939.16,0.3292,34.16,12,2569,NACA 0012,2.4635,1754.84,-8.87,33.160,17.373,111.93,10.420,95106.48,1,warning
1128.76,0.4510,11.46,10,1066,NACA 4412,17.8704,1112.62,-1.50,0.000,0.000,107.58,45.540,6498.74,0,warning
1347.15,0.4603,27.72,4,1300,NACA 0012,3.7047,1041.04,49.83,35.350,12.286,92.26,29.400,92499.35,1,warning
1958.42,0.3878,21.58,8,2946,NACA 4412,10.5554,202.23,34.13,18.660,778.860,138.81,2.570,4163455.18,1,warning
1722.65,0.4569,14.64,10,662,NACA 4412,11.2181,1632.28,31.30,81.670,8.744,86.75,43.730,69315.28,1,warning
899.83,0.3007,16.06,6,1999,NACA 2412,18.7728,293.65,-4.99,0.000,0.000,107.05,24.090,5616.56,0,warning
471.80,0.5701,32.89,6,1365,NACA 0012,9.1332,1684.71,2.69,0.000,0.000,91.85,178.810,725.21,0,warning
468.85,0.3766,14.25,4,512,NACA 0012,1.7548,1783.31,47.83,0.000,0.000,84.58,340.480,1190.05,0,warning
2247.24,0.4392,30.98,12,1634,NACA 0012,8.8034,477.25,20.40,18.010,270.896,121.84,6.530,1475986.45,1,warning
377.38,0.4716,18.48,8,2318,NACA 2412,12.6927,1606.53,46.75,0.000,0.000,99.07,75.330,300.56,0,warning
2031.16,0.3823,24.26,8,2049,NACA 2412,18.3403,416.94,-6.72,32.970,432.214,126.56,4.880,2334763.84,1,warning
1442.36,0.3759,24.51,12,1806,Flat Plate,15.2662,234.41,10.80,55.260,72.501,102.07,12.110,395098.28,1,warning
1602.73,0.4457,13.87,6,1930,NACA 2412,17.1437,1179.94,23.30,73.720,108.363,114.77,9.300,604329.64,1,warning
2200.86,0.3098,13.37,12,1389,Flat Plate,16.7146,1341.28,36.43,58.650,105.300,118.71,7.330,598139.32,1,warning
610.27,0.5513,21.20,12,2107,NACA 4412,15.3805,1238.68,-3.03,0.000,0.000,109.86,46.430,799.56,0,warning
888.99,0.5166,15.46,4,2612,NACA 0012,14.3911,1432.32,0.96,0.000,0.000,126.11,18.150,7634.93,0,warning
723.39,0.4861,31.77,8,690,Flat Plate,19.4065,209.02,18.15,0.000,0.000,76.47,310.010,2099.55,0,warning
2217.44,0.5404,14.98,12,783,NACA 4412,8.6357,1883.37,28.18,53.490,39.124,99.84,25.920,245694.00,1,warning
1652.92,0.3919,28.87,4,1899,Flat Plate,12.8001,571.17,0.46,40.090,128.577,109.51,8.700,732158.07,1,warning
1853.97,0.5628,31.94,12,2387,NACA 4412,17.5063,1027.41,-7.19,39.380,507.805,145.39,5.320,2708476.92,1,warning
1612.96,0.5566,32.33,10,2534,NACA 2412,6.4250,1865.97,13.87,24.660,221.473,140.59,6.100,1189199.42,1,warning
2061.93,0.3642,10.29,8,1468,NACA 0012,6.2413,245.35,-1.99,38.850,59.624,101.62,9.070,366112.96,1,warning
2105.67,0.4938,22.62,8,1214,Flat Plate,0.6177,473.25,33.46,2.610,63.652,99.60,14.480,388257.86,1,warning
690.12,0.5537,30.08,4,1431,NACA 2412,2.5960,1952.81,-6.60,83.430,3.185,80.05,97.410,20297.09,1,warning
1934.52,0.5077,26.68,10,1900,NACA 4412,4.2473,1515.83,12.99,14.120,207.330,129.01,6.960,1128452.56,1,warning
1837.00,0.4886,30.31,4,895,NACA 0012,5.2380,1720.76,24.18,31.280,19.422,97.99,33.940,171424.20,1,warning
2092.59,0.4294,32.63,10,1261,NACA 2412,15.3156,857.01,-2.36,38.660,128.515,112.00,12.030,721599.51,1,warning
587.51,0.3924,30.43,8,2245,NACA 0012,1.9014,378.21,10.45,67.130,2.235,72.25,45.550,12989.43,1,warning
2796.69,0.5196,16.51,12,734,Flat Plate,10.4892,504.92,28.87,24.740,76.684,96.99,22.240,484731.43,1,warning
2323.34,0.5845,21.11,12,1157,Flat Plate,0.5297,1358.87,-8.88,1.960,103.452,116.49,14.200,589886.07,1,warning
2359.70,0.3582,13.60,12,2665,NACA 0012,14.2488,1708.30,-6.93,30.600,1039.585,168.24,2.030,5550073.03,1,warning
396.27,0.5954,15.85,4,2704,NACA 2412,8.8720,1946.26,47.66,0.000,0.000,104.48,91.480,626.33,0,warning
1095.66,0.4327,30.53,4,1741,Flat Plate,12.2249,1208.44,-3.17,70.540,27.844,100.39,23.980,162261.59,1,warning
1728.93,0.3902,24.42,10,701,NACA 2412,15.2158,305.60,22.57,78.090,20.645,75.70,51.700,133016.46,1,warning
2160.55,0.3102,31.28,10,1540,Flat Plate,10.5560,1109.70,11.71,22.590,185.049,123.71,6.710,1025615.02,1,warning
2537.59,0.4273,29.52,8,1343,NACA 4412,7.3344,1991.57,26.54,14.200,266.401,127.81,7.240,1502420.48,1,warning
1213.86,0.5318,30.19,10,2193,NACA 4412,19.0754,1280.18,14.35,77.970,143.837,115.75,13.460,768567.79,1,warning
1374.06,0.3494,22.89,10,1059,NACA 4412,16.7916,225.24,27.59,85.330,23.079,77.75,36.360,134099.31,1,warning
554.94,0.4928,25.74,10,509,NACA 4412,6.5636,683.54,27.29,0.000,0.000,81.98,258.110,755.15,0,warning
1814.87,0.3172,19.58,6,1142,NACA 2412,13.7180,1481.74,16.54,63.040,63.099,104.27,17.100,379919.54,1,warning
1310.05,0.4485,14.17,4,1363,NACA 0012,10.8791,1616.30,32.21,83.500,10.920,98.28,27.500,83204.61,1,warning
1353.13,0.5177,24.09,4,2430,Flat Plate,18.5488,1067.76,13.32,60.180,150.465,115.49,9.160,822840.57,1,warning
2287.79,0.3925,29.14,4,2399,NACA 0012,10.2242,1403.56,42.88,13.730,811.763,135.86,2.850,4432102.14,1,warning
1925.10,0.4863,33.13,12,963,NACA 4412,9.9362,1373.30,24.55,42.810,38.091,100.87,22.180,227857.91,1,warning
1957.05,0.5981,29.72,6,790,NACA 2412,9.4219,666.69,-7.48,47.490,27.281,90.32,46.230,194433.72,1,warning
750.74,0.3228,18.31,6,1180,NACA 2412,12.7945,1898.98,4.34,0.000,0.000,102.54,60.410,3266.97,0,warning
1829.44,0.5033,32.65,4,2577,NACA 4412,12.7873,251.53,33.41,29.990,448.420,113.82,4.390,2439300.96,1,warning
768.48,0.5006,13.67,8,1457,NACA 4412,3.3198,1735.83,11.28,89.240,1.395,82.24,56.720,9854.16,1,ok
998.57,0.5514,24.51,4,1877,NACA 4412,5.1666,1508.47,4.04,70.790,29.772,97.78,29.160,168012.09,1,warning
2877.24,0.4258,22.47,8,1014,NACA 0012,2.4912,1300.17,49.96,4.520,172.830,114.91,9.930,1050127.37,1,warning
831.90,0.5451,34.52,4,1480,NACA 0012,13.3762,751.69,36.31,29.550,0.391,87.20,66.630,8181.06,1,warning
2316.31,0.4398,17.67,8,879,Flat Plate,13.3997,1709.43,43.85,36.340,57.002,106.10,19.150,372061.27,1,warning
2587.08,0.3908,13.84,10,2700,Flat Plate,8.0032,167.91,36.46,7.170,1969.343,151.84,1.760,10497574.71,1,warning
2490.88,0.5947,28.13,12,2228,NACA 2412,1.3747,1020.67,-4.11,2.230,1076.623,158.23,3.620,5747246.04,1,warning
1666.24,0.3071,18.92,10,2677,NACA 2412,3.6760,1009.95,16.45,18.390,311.836,138.38,3.880,1671016.46,1,warning
2026.10,0.5960,27.28,12,1000,NACA 0012,19.3512,1867.46,10.04,56.790,74.788,108.65,23.290,423530.58,1,warning
1820.22,0.5707,19.97,8,616,NACA 2412,18.1935,1225.23,2.44,87.960,14.034,86.87,72.030,105458.93,1,warning
1874.49,0.4924,12.34,8,776,NACA 4412,10.7827,1020.11,6.59,74.900,17.317,90.36,40.180,127975.32,1,warning
1336.40,0.4028,31.30,8,2326,NACA 2412,18.7694,1827.28,6.97,61.390,133.354,122.21,8.390,719163.27,1,warning
2701.15,0.4046,19.12,6,1430,NACA 0012,17.5171,379.34,38.52,34.990,529.786,112.25,5.810,2953398.16,1,warning
583.05,0.5263,17.17,12,2143,NACA 0012,8.9116,593.08,20.48,0.000,0.000,99.26,53.630,712.59,0,warning
2213.79,0.3188,19.48,4,2997,NACA 2412,0.7026,57.93,11.09,0.950,1270.048,126.52,1.840,6844210.10,1,warning
648.23,0.3356,23.85,8,627,NACA 4412,13.0817,1611.01,44.39,0.000,0.000,92.47,84.330,1577.61,0,warning
1393.00,0.3803,31.74,12,2898,NACA 2412,9.6083,553.40,23.25,36.050,174.747,130.20,5.070,934813.29,1,warning
1294.88,0.3320,21.53,10,1503,NACA 0012,1.9807,1291.27,32.66,21.250,12.735,97.32,17.030,77450.08,1,warning
2329.80,0.3018,31.33,4,2113,NACA 0012,19.6130,1886.39,23.47,23.710,695.633,136.17,3.280,3826157.15,1,warning
1407.56,0.4944,12.82,10,2590,NACA 0012,1.7654,726.44,35.22,23.290,55.336,119.35,7.100,305054.72,1,warning
1743.94,0.3665,26.10,8,563,NACA 2412,6.5033,1108.94,23.81,51.490,5.232,79.41,57.710,58353.69,1,warning
2409.24,0.4079,28.67,4,897,NACA 2412,19.9276,1940.90,44.97,42.590,84.510,109.74,18.020,607490.58,1,warning
569.40,0.5441,25.81,4,713,NACA 4412,1.3753,646.12,-3.23,93.180,0.079,55.10,515.860,2375.35,1,warning
2483.44,0.4952,34.22,10,1356,NACA 2412,17.9351,591.89,19.43,30.370,311.554,119.25,8.340,1715711.23,1,warning
426.57,0.3508,34.26,6,2558,Flat Plate,6.4299,1311.94,20.15,0.000,0.000,101.28,53.980,599.13,0,warning
1954.76,0.3807,25.57,8,1542,NACA 0012,18.8260,404.31,2.70,42.490,168.968,109.84,9.220,936920.46,1,warning
1716.83,0.3368,27.78,10,756,Flat Plate,11.0286,337.25,47.57,55.250,11.008,77.41,42.240,81682.96,1,warning
2668.75,0.5390,28.36,10,1226,NACA 4412,9.8222,569.62,19.89,18.840,287.963,117.05,9.430,1604478.21,1,warning
1265.24,0.5981,20.07,10,2701,NACA 0012,19.2291,1220.79,35.37,83.420,148.105,125.42,9.450,791599.42,1,warning
1564.90,0.4292,14.90,12,1578,NACA 4412,4.2937,1326.03,32.43,41.040,46.728,105.95,12.510,261761.14,1,warning
2260.41,0.3612,34.23,12,1523,NACA 2412,9.7754,1912.45,-1.00,20.200,246.001,132.59,6.070,1345876.68,1,warning
1145.01,0.4225,32.16,8,694,NACA 4412,5.0193,1215.87,-1.35,72.090,2.507,73.32,82.910,21820.60,1,warning
1753.97,0.3494,31.47,6,2400,NACA 2412,9.6705,789.14,5.49,25.240,280.566,127.72,4.630,1525841.86,1,warning
361.03,0.3389,19.33,12,971,NACA 2412,10.1315,1200.21,36.98,0.000,0.000,88.92,56.300,181.69,0,warning
1828.06,0.4742,11.62,10,526,NACA 4412,14.4730,1799.90,22.96,88.030,3.765,84.24,53.580,47209.73,1,warning
2442.78,0.3523,19.84,6,2141,NACA 4412,5.7680,1110.63,45.67,8.460,770.629,140.56,3.010,4189111.54,1,warning
1706.07,0.3927,34.21,4,867,Flat Plate,17.1911,885.34,23.10,63.570,22.421,91.58,37.870,175759.10,1,warning
860.12,0.3800,28.14,12,2074,NACA 4412,11.4578,448.01,37.81,88.590,23.138,87.37,23.610,124853.78,1,warning
828.13,0.4877,19.06,4,2859,NACA 4412,6.9339,527.66,24.29,83.700,28.635,94.52,16.960,157771.71,1,warning
1769.86,0.5434,23.03,6,2675,NACA 4412,3.6335,1417.81,49.01,11.950,321.550,133.92,4.580,1740279.31,1,warning
497.78,0.5881,34.11,12,2804,NACA 2412,9.9007,1699.24,4.37,0.000,0.000,112.56,41.980,417.44,0,warning
2618.27,0.5246,33.80,8,1963,NACA 4412,17.2710,1308.13,-0.80,20.980,1187.531,148.32,3.760,6378968.39,1,warning
1099.55,0.5244,12.82,4,2819,Flat Plate,18.8189,662.31,35.71,40.290,14.830,111.22,10.430,92789.80,1,warning
1234.26,0.3416,26.88,8,1116,NACA 4412,0.8288,697.39,48.16,15.590,3.784,79.60,36.870,30899.19,1,warning
2828.79,0.4791,30.69,12,651,NACA 0012,16.6941,1781.27,20.70,35.090,69.264,105.89,20.790,450432.32,1,warning
1267.36,0.4024,21.41,12,1610,NACA 2412,4.0940,1253.09,29.20,48.000,26.731,98.45,16.540,149198.62,1,warning
1215.22,0.3206,19.64,12,1329,NACA 0012,12.5591,484.45,15.05,85.190,12.900,86.50,25.500,75191.61,1,warning
1765.28,0.3982,15.05,12,2383,NACA 4412,2.1292,823.87,28.39,12.750,228.654,133.34,4.700,1230655.50,1,warning
2633.75,0.5801,19.91,12,1631,NACA 4412,12.1831,1477.59,-6.61,26.730,1106.280,141.67,5.760,5914609.35,1,warning
1226.85,0.3245,18.66,4,1861,NACA 0012,13.1133,89.80,40.64,80.390,32.491,80.29,15.610,193243.88,1,warning
2777.71,0.3855,23.57,6,2711,NACA 4412,7.6770,606.36,37.69,5.970,2974.517,157.28,1.510,15899904.88,1,warning
950.20,0.3250,29.89,12,2847,NACA 4412,2.0205,275.30,-6.44,27.670,23.674,100.96,10.670,128570.26,1,warning
2782.41,0.3481,14.25,10,2593,NACA 2412,6.1013,292.15,46.07,9.450,1981.168,155.17,1.590,10580137.13,1,warning
2766.89,0.3185,33.75,8,700,Flat Plate,19.6320,192.54,43.08,36.260,66.007,87.47,21.060,471828.22,1,warning
1225.92,0.5599,14.26,12,2761,NACA 0012,3.4326,1281.30,23.60,46.890,52.845,122.83,8.810,285970.27,1,warning
2149.80,0.4065,29.92,4,2642,NACA 0012,12.6716,1447.58,37.66,17.890,854.254,137.49,2.700,4633009.15,1,warning
477.17,0.3761,21.99,8,1462,Flat Plate,10.8472,1621.37,37.61,0.000,0.000,92.81,71.620,627.29,0,warning
2648.96,0.4927,33.72,4,1333,NACA 2412,15.3227,609.18,-4.64,23.780,406.265,116.20,7.700,2354475.12,1,warning
1745.73,0.5548,10.78,12,2919,NACA 2412,1.1972,1954.16,18.55,9.620,208.037,150.34,3.920,1119158.02,1,warning
781.43,0.3691,23.47,4,2843,NACA 2412,6.1732,1849.37,23.28,80.220,24.241,103.46,16.430,133763.22,1,warning
1714.74,0.5101,15.89,4,2502,NACA 0012,2.2339,65.77,33.29,15.880,184.068,94.44,5.360,1028780.10,1,warning
1305.27,0.4933,12.02,10,2602,NACA 4412,10.9103,1098.13,42.11,72.600,89.058,121.80,8.030,480955.42,1,warning
1176.19,0.5848,32.00,6,733,Flat Plate,11.7386,1268.38,23.19,91.560,4.140,77.35,126.350,32952.35,1,warning
991.60,0.5551,29.22,6,2979,NACA 0012,10.7527,977.14,36.69,70.110,75.546,108.99,11.920,406483.19,1,warning
2615.43,0.4592,26.96,4,2383,Flat Plate,4.6164,872.86,18.73,4.900,1519.552,139.42,2.380,8239759.50,1,warning
2684.94,0.3392,21.88,4,933,NACA 4412,3.3943,67.18,9.64,8.070,112.192,85.46,13.120,817690.90,1,warning
1489.65,0.4196,34.30,12,627,NACA 0012,15.6283,747.80,4.37,81.960,9.623,77.39,59.510,63518.83,1,warning
2800.68,0.4547,11.84,10,2209,NACA 0012,13.5264,1230.22,7.71,26.090,1046.131,162.06,2.360,5633136.95,1,warning
1482.30,0.5975,27.91,8,2460,NACA 2412,11.5187,922.00,27.59,44.990,172.906,120.83,8.430,931013.02,1,warning
872.19,0.4633,24.39,10,2833,NACA 0012,15.3545,1398.92,2.99,90.390,31.885,112.48,13.700,171662.87,1,warning
1419.08,0.5055,10.40,6,623,NACA 2412,3.5796,1458.16,-9.86,76.880,1.487,76.32,98.390,28736.17,1,warning
1522.28,0.3656,31.59,6,2646,NACA 2412,4.4369,831.39,41.83,17.850,150.299,121.41,5.120,822257.50,1,warning
2514.55,0.4499,18.62,8,1333,NACA 4412,3.5431,945.69,23.74,11.760,335.617,118.48,7.920,1865270.27,1,warning
871.28,0.5666,30.88,12,2589,NACA 4412,15.6255,1587.96,-3.61,91.220,66.911,111.23,18.480,356262.01,1,warning
1928.53,0.4450,24.81,6,1427,NACA 2412,18.6832,696.49,31.01,48.930,135.733,107.08,11.810,772174.91,1,warning
910.66,0.5382,23.55,4,2545,NACA 0012,10.8976,1503.25,37.89,87.980,31.159,104.17,18.820,172883.13,1,warning
2634.79,0.4768,13.55,12,1710,NACA 0012,8.6547,1101.35,-5.82,24.570,467.931,140.34,4.490,2543351.46,1,warning
1626.66,0.3195,33.82,10,1428,NACA 0012,13.8424,1317.06,-0.67,48.780,58.951,109.55,12.510,331771.19,1,warning
1693.81,0.5089,26.17,10,2920,Flat Plate,11.9291,1175.52,41.97,29.470,402.307,145.92,3.950,2149432.76,1,warning
438.59,0.4235,17.46,10,1225,NACA 0012,13.2723,563.33,-1.96,0.000,0.000,83.59,146.760,385.32,0,warning
1936.12,0.3221,30.43,4,2824,Flat Plate,9.3604,65.54,23.35,16.490,591.433,115.88,2.720,3212744.07,1,warning
1062.99,0.4411,27.03,12,2139,Flat Plate,12.5792,1130.27,38.75,69.590,36.154,105.74,15.030,195810.04,1,warning
1587.27,0.3367,22.13,6,1862,Flat Plate,18.5750,813.44,24.87,52.070,110.413,111.69,9.180,614943.80,1,warning
1179.18,0.3285,34.53,10,2104,Flat Plate,7.4050,328.70,37.95,47.960,31.749,94.87,12.740,175542.84,1,warning
2854.05,0.5732,31.41,4,1508,NACA 0012,18.9645,1023.43,40.54,22.350,704.312,125.77,5.850,3965833.78,1,warning
964.02,0.5860,23.62,12,841,NACA 0012,13.3236,683.68,27.43,0.000,0.000,90.40,117.560,3039.56,0,warning
2547.72,0.5567,12.51,10,1875,NACA 2412,15.6498,1778.29,18.98,40.100,602.886,144.10,4.520,3258723.99,1,warning
652.55,0.4324,21.26,12,2089,NACA 0012,17.8606,1077.42,41.77,0.000,0.000,108.82,33.210,1054.29,0,warning
1588.63,0.4391,19.93,6,1937,NACA 2412,8.5925,1498.37,11.11,48.500,149.247,116.23,9.260,819844.73,1,warning
2227.71,0.4984,24.17,8,1473,NACA 4412,15.0103,1836.49,10.28,32.640,251.991,126.14,8.620,1393879.01,1,warning
461.11,0.4086,16.28,4,2437,NACA 4412,15.5864,233.58,45.21,0.000,0.000,89.82,68.150,1124.46,0,warning
1771.98,0.4727,10.47,4,1803,NACA 0012,10.0826,300.29,38.98,59.950,60.288,99.83,9.180,381109.71,1,warning
2626.49,0.3269,14.88,10,2722,NACA 2412,19.8683,1555.56,22.59,27.440,2296.780,171.70,1.560,12233927.78,1,warning
2241.20,0.5334,34.27,4,1377,NACA 2412,13.2649,978.98,41.26,31.040,184.037,113.05,10.640,1094262.64,1,warning
2924.25,0.3948,14.40,12,1325,NACA 4412,19.9020,599.81,41.64,36.770,547.989,125.29,5.560,2994794.68,1,warning
2327.15,0.5415,26.36,4,1827,Flat Plate,1.9097,1399.64,11.52,4.110,392.460,127.00,5.690,2210322.21,1,warning
2628.04,0.5975,21.81,8,1742,Flat Plate,4.0655,1318.37,43.93,6.680,570.241,137.43,5.350,3107696.20,1,warning
1046.77,0.3127,24.17,10,1423,NACA 2412,3.8342,1363.68,3.30,57.630,8.149,90.47,23.880,48412.69,1,warning
1049.67,0.3756,13.31,8,1505,NACA 2412,17.8439,704.20,-8.90,0.000,0.000,111.15,30.330,6678.03,0,warning
1603.40,0.4860,10.29,12,1358,NACA 0012,14.8515,143.12,19.22,79.580,16.856,85.56,19.770,104391.34,1,warning
2879.41,0.5057,24.67,8,1935,Flat Plate,1.4521,249.41,38.74,1.540,1200.355,135.19,3.150,6480629.20,1,warning
1881.28,0.5389,13.25,4,1161,Flat Plate,10.9208,389.22,23.01,68.340,36.579,92.40,21.450,264586.64,1,warning
476.43,0.4286,31.24,8,2719,NACA 0012,11.6986,325.10,22.61,0.000,0.000,96.14,49.840,616.30,0,warning
1130.78,0.4552,29.88,12,1609,NACA 0012,6.2258,1977.79,16.98,55.220,15.787,100.85,19.460,88970.58,1,warning
1061.77,0.5854,26.46,10,1309,NACA 4412,15.5158,631.12,45.97,93.550,10.547,84.04,52.430,60674.81,1,warning
484.44,0.4397,16.41,6,2941,NACA 2412,6.5520,1392.90,48.24,0.000,0.000,107.68,39.400,860.31,0,warning
1324.59,0.5122,31.68,6,1563,NACA 0012,1.1315,872.14,46.25,13.370,14.907,94.35,22.420,95735.86,1,warning
1588.50,0.5637,30.51,8,1753,Flat Plate,2.2507,1635.12,40.48,14.540,52.215,112.00,13.220,297127.27,1,warning
1182.83,0.4127,32.18,12,551,NACA 2412,18.9090,1550.13,23.59,0.000,0.000,93.71,50.700,6319.24,0,warning
877.70,0.5016,25.79,6,992,Flat Plate,1.0599,520.17,25.43,43.670,0.782,62.62,116.640,9091.12,1,warning
1871.69,0.3770,10.08,12,529,NACA 2412,15.8347,1270.47,43.13,80.110,1.632,81.92,38.490,33882.94,1,warning
1160.57,0.4737,28.43,4,2103,Flat Plate,14.9209,1480.12,19.99,67.720,55.420,108.61,15.500,310621.38,1,warning
954.55,0.4953,32.92,8,2501,NACA 4412,19.6080,1449.90,47.71,88.740,94.994,107.23,15.860,507300.69,1,warning
2274.94,0.4562,16.00,4,2653,NACA 0012,5.4939,1504.54,38.11,15.030,883.446,144.92,2.520,4806113.43,1,warning
2646.85,0.4539,16.85,10,1025,NACA 0012,7.6959,728.71,-7.76,28.510,157.374,107.69,11.890,916195.97,1,warning
2591.92,0.4867,34.37,12,1112,Flat Plate,13.2258,1185.36,46.27,24.940,172.174,117.19,10.550,975160.15,1,warning
2542.14,0.4529,14.49,6,1905,Flat Plate,3.1664,835.46,39.31,4.570,625.778,134.89,3.890,3433971.69,1,warning
1797.49,0.3560,31.72,8,2008,NACA 2412,1.1819,1743.81,40.35,4.410,129.455,125.24,6.040,718410.32,1,warning
1427.18,0.5666,23.51,4,1993,NACA 2412,13.8565,1973.47,2.96,69.540,171.308,115.48,13.120,936421.93,1,warning
488.91,0.3227,17.06,4,2879,NACA 4412,14.4518,734.34,-1.25,0.000,0.000,107.41,39.180,1353.54,0,warning
635.58,0.4263,20.60,8,2609,NACA 0012,19.7955,1981.23,18.35,0.000,0.000,120.73,25.800,1464.41,0,warning
2782.12,0.5611,23.95,8,2413,NACA 0012,7.7213,825.37,38.25,7.230,2144.448,155.68,2.350,11456708.91,1,warning
1730.76,0.4630,10.50,12,1342,Flat Plate,17.6955,1016.85,15.09,70.560,28.959,106.30,15.220,172594.02,1,warning
1959.38,0.5792,34.98,8,782,Flat Plate,6.5232,1188.09,23.59,37.420,19.110,93.10,42.610,139687.10,1,warning
712.69,0.5818,27.10,8,1880,Flat Plate,7.7509,561.57,-7.68,0.000,0.185,101.27,57.980,2817.06,0,warning
577.27,0.4705,12.97,8,2854,NACA 2412,12.6636,1118.17,19.24,0.000,0.000,113.65,30.720,1076.42,0,warning
1646.85,0.3204,33.88,4,1743,NACA 4412,18.9881,236.87,11.14,52.670,122.724,99.46,9.830,700921.82,1,warning
2575.85,0.5978,29.95,10,898,NACA 4412,12.4453,1320.35,-6.12,32.490,123.893,109.77,19.850,724018.55,1,warning
2978.33,0.4217,26.65,10,2945,NACA 4412,5.3118,87.85,40.07,3.260,5296.335,159.40,1.150,28138361.73,1,warning
1751.59,0.3036,18.16,6,1913,NACA 2412,12.3673,454.70,3.11,50.370,195.616,111.14,7.070,1076256.25,1,warning
1653.06,0.4502,10.43,8,2529,NACA 2412,15.2712,1951.27,32.40,66.050,164.243,132.93,5.050,894373.15,1,warning
617.40,0.4797,31.15,12,2955,NACA 4412,11.7477,60.68,23.69,64.510,1.682,73.10,28.130,9751.49,1,warning
1395.03,0.5742,12.02,6,1925,NACA 2412,2.4213,92.42,36.35,39.180,28.142,81.45,15.070,167521.00,1,warning
2562.47,0.4960,30.47,12,2617,NACA 2412,4.1167,554.21,2.72,4.530,2022.479,163.79,2.140,10760742.73,1,warning
846.29,0.5675,10.95,6,1129,NACA 4412,5.6798,496.91,26.55,0.000,0.000,88.32,110.990,4196.94,0,warning
2306.58,0.5238,27.64,10,1122,NACA 2412,4.3229,1292.95,47.36,14.080,90.338,110.64,13.990,530944.35,1,warning
1466.52,0.4021,11.20,4,1887,NACA 4412,14.1842,1675.73,37.43,76.990,56.903,111.42,11.130,337258.04,1,warning
1074.36,0.3590,12.49,6,897,NACA 2412,5.9293,736.07,46.47,84.490,0.746,71.98,74.820,13521.91,1,warning
397.97,0.3713,13.96,12,981,NACA 0012,18.5438,1311.10,47.32,0.000,0.000,92.32,58.390,242.77,0,warning
2399.79,0.4079,27.22,12,2202,Flat Plate,10.5153,285.42,-1.01,13.620,904.199,145.30,3.110,4836062.31,1,warning
2675.43,0.4267,21.31,10,1791,NACA 4412,9.9673,992.55,37.11,12.580,780.077,140.75,3.790,4213981.53,1,warning
590.34,0.5658,13.68,6,2710,Flat Plate,4.1218,1592.23,37.25,0.000,0.000,110.28,39.140,1426.99,0,warning
1184.52,0.3348,32.70,4,2062,NACA 0012,14.5238,496.78,1.91,65.360,54.952,100.01,13.630,309926.36,1,warning
2410.61,0.3357,23.08,10,2402,NACA 2412,18.0088,155.12,-4.53,19.370,1315.464,144.31,2.440,7023694.51,1,warning
